CLIENT_ID,LAST_NAME,FIRST_NAME,PATRONYMIC,DATE_OF_BIRTH,PASSPORT_NUM,PASSPORT_VALID_TO,PHONE,CREATE_DT,UPDATE_DT
6948,Сьестнов,Сергей,Станиславович,05-APR-73,8732 868620, - ,+7 914 996-22-46,01-JAN-00, - 
3603,Очаков,Матвей,Иванович,05-MAR-96,2885 305052,05-MAR-41,+7 974 791-86-56,01-JAN-00, - 
4699,Абазин,Эльдар,Владиславович,18-DEC-72,5100 810950, - ,+7 930 390-63-97,01-JAN-00, - 
7486,Итяйкин,Роберт,Владимирович,13-JUN-02,8095 866027,13-JUN-22,+7 913 443-96-80,01-JAN-00, - 
9386,Шкабкина,Анжелика,Ивановна,31-MAR-64,5360 464827, - ,+7 954 947-82-68,01-JAN-00, - 
7763,Швыкова,Инесса,Робертовна,06-JUN-92,2538 923225,06-JUN-37,+7 998 132-15-68,01-JAN-00, - 
VIP-6237,Узенева,Нелли,Геворковна,04-MAR-99,6510 927714,04-MAR-44,+7 965 317-46-87,01-JAN-00, - 
4932,Тщедушин,Владислав,Павлович,06-FEB-83,1988 613561,06-FEB-28,+7 949 229-36-79,01-JAN-00, - 
1456,Сывороткин,Станислав,Львович,08-APR-98,2284 919348,08-APR-43,+7 955 261-24-77,01-JAN-00, - 
7642,Рубакова,Оксана,Давидовна,05-DEC-97,3365 607538,05-DEC-42,+7 950 562-20-57,01-JAN-00, - 
8808,Андреев,Эльдар,Богданович,15-JAN-85,6492 191174,15-JAN-30,+7 944 151-66-85,01-JAN-00, - 
3779,Пначин,Яков,Богданович,08-APR-73,3032 452883, - ,+7 974 261-98-59,01-JAN-00, - 
9247,Езопова,Полина,Евгеньевна,04-NOV-59,7483 791097, - ,+7 950 958-38-29,01-JAN-00, - 
7416,Жгутова,Станислава,Тиграновна,24-JAN-65,1146 812704, - ,+7 926 288-89-91,01-JAN-00, - 
4679,Лазутченков,Даниил,Евдокиевич,19-MAY-72,5771 567535, - ,+7 910 653-83-33,01-JAN-00, - 
VIP-9807,Ныров,Рашид,Андреевич,29-MAR-94,1032 762143,29-MAR-39,+7 975 461-49-58,01-JAN-00, - 
2948,Мляхова,Валерия,Всеволодовна,11-JUN-79,1152 376417,11-JUN-24,+7 949 269-82-53,01-JAN-00, - 
7812,Ишеев,Игорь,Степанович,26-AUG-98,5534 217181,26-AUG-43,+7 925 408-82-64,01-JAN-00, - 
8006,Убоков,Феликс,Степанович,16-SEP-66,2994 122762, - ,+7 992 426-84-40,01-JAN-00, - 
6069,Иянова,Элла,Степановна,08-AUG-52,3792 892752, - ,+7 933 623-61-65,01-JAN-00, - 
2841,Ацераева,Марина,Александровна,16-SEP-52,6695 639673, - ,+7 932 269-44-63,01-JAN-00, - 
4004,Щупаковская,Людмила,Александровна,28-AUG-78,3428 124468,28-AUG-23,+7 963 340-50-65,01-JAN-00, - 
8157,Всеволожская,Наталья,Климовна,11-NOV-71,7303 581238, - ,+7 971 706-87-94,01-JAN-00, - 
3914,Рвачева,Лилия,Григорьевна,24-MAY-94,3565 714592,24-MAY-39,+7 986 712-94-62,01-JAN-00, - 
8996,Гдалина,Станислава,Ефимовна,30-JUL-67,6104 249409, - ,+7 950 983-52-52,01-JAN-00, - 
VIP-8588,Дегтярева,Валентина,Аминовна,22-FEB-02,1502 319717,22-FEB-22,+7 927 381-98-94,01-JAN-00, - 
8746,Шныгин,Даниэль,Ефимович,21-OCT-73,3076 799795, - ,+7 938 431-23-95,01-JAN-00, - 
2475,Мекертычев,Данил,Викторович,16-MAY-69,8306 425084, - ,+7 924 310-38-74,01-JAN-00, - 
4921,Лейковский,Рубен,Николаевич,05-OCT-98,3185 126479,05-OCT-43,+7 981 901-33-49,01-JAN-00, - 
3799,Арканова,Лариса,Никитовна,25-MAY-99,4938 783841,25-MAY-44,+7 924 407-22-40,01-JAN-00, - 
8550,Ремецова,Анна,Викторовна,17-OCT-82,1365 749337,17-OCT-27,+7 933 643-31-71,01-JAN-00, - 
8868,Единцов,Святослав,Николаевич,19-MAR-57,8020 278034, - ,+7 934 222-81-82,01-JAN-00, - 
2828,Ойстрак,Эмин,Викторович,26-JUL-54,7982 184718, - ,+7 934 154-51-38,01-JAN-00, - 
8729,Пилипов,Олег,Валерьевич,29-DEC-75,9393 914356, - ,+7 946 928-51-39,01-JAN-00, - 
7429,Ушаков,Андрей,Филиппович,16-AUG-02,8563 286454,16-AUG-22,+7 990 779-22-62,01-JAN-00, - 
9117,Озерцов,Нурлан,Булатович,01-MAY-60,5328 320302, - ,+7 920 606-72-84,01-JAN-00, - 
1319,Кабакова,Дарья,Феликсовна,04-FEB-72,8649 870439, - ,+7 956 470-29-82,01-JAN-00, - 
6696,Михайлов,Федор,Асланович,01-AUG-81,9951 146897,01-AUG-26,+7 992 759-83-87,01-JAN-00, - 
3773,Здоровихин,Ильяс,Романович,18-FEB-72,3315 439165, - ,+7 942 788-39-30,01-JAN-00, - 
7121,Ячменев,Эрнест,Шамилевич,01-AUG-86,6513 475464,01-AUG-31,+7 920 117-83-39,01-JAN-00, - 
2904,Яльцева,Станислава,Тимофеевна,17-JAN-91,9562 284698,17-JAN-36,+7 931 637-16-86,01-JAN-00, - 
9299,Пудиков,Станислав,Романович,20-OCT-85,2218 672934,20-OCT-30,+7 997 241-65-49,01-JAN-00, - 
3920,Цвигунов,Юрий,Тимофеевич,04-JUN-89,3332 274169,04-JUN-34,+7 976 743-45-51,01-JAN-00, - 
7846,Вилов,Ильдар,Тимофеевич,14-MAY-01,5282 445550,14-MAY-21,+7 999 514-50-18,01-JAN-00, - 
VIP-9688,Кикоина,Маргарита,Денисовна,12-FEB-02,1181 683206,12-FEB-22,+7 985 639-33-71,01-JAN-00, - 
3150,Александрова,Алина,Данииловна,17-JUL-82,6727 432937,17-JUL-27,+7 976 630-37-37,01-JAN-00, - 
6850,Озерцов,Федор,Данилович,05-SEP-62,3646 104301, - ,+7 974 567-26-41,01-JAN-00, - 
9172,Вгонков,Константин,Константинович,22-OCT-02,1682 284873,22-OCT-22,+7 944 545-56-92,01-JAN-00, - 
1244,Войтеховская,Ульяна,Эрнестовна,18-MAR-76,9964 543377,18-MAR-21,+7 953 827-27-94,01-JAN-00, - 
3919,Приемский,Екатерина,Анатольевна,02-MAR-01,8115 161624,02-MAR-21,+7 924 776-64-54,01-JAN-00, - 
